nuts2_id,year,erdf_eur,erdf_eur_pc,p99_erdf_eur_pc
PT20,2016,103242518,427.2345802,242.5308123
ITG1,2016,1243554176,248.4921621,242.5308123
ITF6,2016,476308512,245.1300442,242.5308123
PT20,2017,90123448,375.3454612,166.3055413
PT11,2017,679351937,188.8877901,166.3055413
CZ07,2017,207848783,170.7004409,166.3055413
PT20,2018,172802473,723.1318232,365.7542511
HU23,2018,326830839,368.9668537,365.7542511
HU33,2018,454674618,367.4135358,365.7542511
PT20,2019,103240487,434.0972762,245.1470309
EE00,2019,347547500,262.335638,245.1470309
PT18,2019,174259048,245.9778159,245.1470309
PT20,2020,115281328,486.1872947,289.3188341
EL41,2020,74328215,323.8476403,289.3188341
PT20,2021,117663547,495.183603,405.1585448
PT18,2021,304404306,429.298361,405.1585448
PT20,2022,110537843,462.9004204,281.4054027
EE00,2022,378086620,283.8922928,281.4054027
