estimator,outcome,window,bandwidth,coef,std_err,t_stat,p_value,ci_95_lower,ci_95_upper,n_obs,n_left,n_right,cutoff,kernel,polynomial_order,treatment_var,first_stage_f_stat
sharp_rd,gdp_pc_pps_growth_post_2016_2020,post_2016_2020,5,-4.173766448,2.326092785,-1.794325005,0.07276130919,-8.732824531,0.3852916342,23,11,12,75,triangular,1,eligible_lt75,
sharp_rd,gdp_pc_pps_growth_post_2016_2020,post_2016_2020,7.5,-2.750496755,1.703354782,-1.614752713,0.1063642572,-6.089010782,0.5880172706,41,18,23,75,triangular,1,eligible_lt75,
sharp_rd,gdp_pc_pps_growth_post_2016_2020,post_2016_2020,10,-1.970789659,1.536487246,-1.282659302,0.199611464,-4.982249323,1.040670006,53,24,29,75,triangular,1,eligible_lt75,
sharp_rd,gdp_pc_pps_growth_post_2016_2020,post_2016_2020,12.5,-1.411653128,1.38334141,-1.020466183,0.3075074197,-4.122952469,1.299646214,65,26,39,75,triangular,1,eligible_lt75,
sharp_rd,gdp_pc_pps_growth_post_2016_2020,post_2016_2020,15,-0.9273259364,1.234101133,-0.7514181062,0.4524010693,-3.346119711,1.491467838,78,32,46,75,triangular,1,eligible_lt75,
sharp_rd,gdp_pc_pps_growth_post_2021_2023,post_2021_2023,5,1.567974009,1.289631205,1.215831318,0.2240491858,-0.9596567071,4.095604725,23,11,12,75,triangular,1,eligible_lt75,
sharp_rd,gdp_pc_pps_growth_post_2021_2023,post_2021_2023,7.5,2.966703737,1.271933137,2.332436864,0.01967772069,0.4737605982,5.459646876,41,18,23,75,triangular,1,eligible_lt75,
sharp_rd,gdp_pc_pps_growth_post_2021_2023,post_2021_2023,10,2.840440044,1.201785697,2.363516266,0.01810243197,0.4849833599,5.195896727,53,24,29,75,triangular,1,eligible_lt75,
sharp_rd,gdp_pc_pps_growth_post_2021_2023,post_2021_2023,12.5,2.107336229,1.069313563,1.970737398,0.04875392056,0.01152015677,4.203152301,65,26,39,75,triangular,1,eligible_lt75,
sharp_rd,gdp_pc_pps_growth_post_2021_2023,post_2021_2023,15,1.43858723,1.018298699,1.412736,0.1577333625,-0.5572415449,3.434416004,78,32,46,75,triangular,1,eligible_lt75,
sharp_rd,gdp_pc_real_growth_post_2016_2020,post_2016_2020,5,-2.458204201,1.63914897,-1.499683218,0.1336964798,-5.670877148,0.7544687447,23,11,12,75,triangular,1,eligible_lt75,
sharp_rd,gdp_pc_real_growth_post_2016_2020,post_2016_2020,7.5,-0.7663171276,1.437683035,-0.5330223065,0.5940181391,-3.584124098,2.051489843,41,18,23,75,triangular,1,eligible_lt75,
sharp_rd,gdp_pc_real_growth_post_2016_2020,post_2016_2020,10,-0.1588087945,1.375125184,-0.1154867909,0.9080592898,-2.854004629,2.53638704,53,24,29,75,triangular,1,eligible_lt75,
sharp_rd,gdp_pc_real_growth_post_2016_2020,post_2016_2020,12.5,-0.1743405482,1.213159869,-0.1437078102,0.8857312036,-2.552090199,2.203409103,65,26,39,75,triangular,1,eligible_lt75,
sharp_rd,gdp_pc_real_growth_post_2016_2020,post_2016_2020,15,-0.1840631525,1.074559048,-0.1712917991,0.8639943285,-2.290160185,1.92203388,78,32,46,75,triangular,1,eligible_lt75,
sharp_rd,gdp_pc_real_growth_post_2021_2023,post_2021_2023,5,0.7881955575,0.8577543312,0.9189059487,0.3581447682,-0.8929720393,2.469363154,23,11,12,75,triangular,1,eligible_lt75,
sharp_rd,gdp_pc_real_growth_post_2021_2023,post_2021_2023,7.5,2.134380861,0.9958114642,2.143358395,0.03208433121,0.1826262559,4.086135467,41,18,23,75,triangular,1,eligible_lt75,
sharp_rd,gdp_pc_real_growth_post_2021_2023,post_2021_2023,10,2.420226763,0.9750722535,2.48209992,0.01306106449,0.5091202634,4.331333262,53,24,29,75,triangular,1,eligible_lt75,
sharp_rd,gdp_pc_real_growth_post_2021_2023,post_2021_2023,12.5,2.10186131,0.8673211936,2.423394384,0.01537622362,0.4019430073,3.801779612,65,26,39,75,triangular,1,eligible_lt75,
sharp_rd,gdp_pc_real_growth_post_2021_2023,post_2021_2023,15,1.605911081,0.8299583962,1.934929616,0.05299893331,-0.02077748423,3.232599646,78,32,46,75,triangular,1,eligible_lt75,
