model,term,coef,std_err,t_stat,p_value,ci_95_lower,ci_95_upper,n_obs,n_regions,fe_type,clustering,sample_year_min,sample_year_max,controls_used,outlier_rule,erdf_eur_pc_global_p99
Model A (outliers excluded),erdf_eur_pc_l1,0.001565638092,0.003752373574,0.4172393981,0.6765033104,-0.005788878971,0.008920155154,1156,223,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",drop global top 1% erdf_eur_pc,264.108343
Model A (outliers excluded),unemp_rate,-0.6490777124,0.1266478593,-5.125058693,2.974450728e-07,-0.8973029554,-0.4008524694,1156,223,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",drop global top 1% erdf_eur_pc,264.108343
Model A (outliers excluded),emp_rate,-0.1543819572,0.1270798692,-1.214841959,0.2244263743,-0.403453924,0.09469000957,1156,223,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",drop global top 1% erdf_eur_pc,264.108343
Model A (outliers excluded),tertiary_share_25_64,-0.1435511797,0.1093364198,-1.312931043,0.1892061852,-0.3578466248,0.07074426528,1156,223,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",drop global top 1% erdf_eur_pc,264.108343
Model A (outliers excluded),rd_gerd,-0.5717018004,0.6191738645,-0.9233299937,0.3558352618,-1.785260275,0.6418566741,1156,223,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",drop global top 1% erdf_eur_pc,264.108343
Model A (outliers excluded),gva,0.1149115245,0.03090861947,3.717782498,0.0002009791876,0.05433174353,0.1754913055,1156,223,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",drop global top 1% erdf_eur_pc,264.108343
Model B (outliers excluded),erdf_eur_pc_l1,0.003613829002,0.004559577614,0.7925797755,0.4280226958,-0.005322778906,0.01255043691,1156,223,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",drop global top 1% erdf_eur_pc,264.108343
Model B (outliers excluded),unemp_rate,-0.08232221992,0.1748031822,-0.4709423413,0.6376819104,-0.4249301615,0.2602857217,1156,223,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",drop global top 1% erdf_eur_pc,264.108343
Model B (outliers excluded),emp_rate,-0.04136381483,0.1481300716,-0.279239822,0.780060785,-0.3316934202,0.2489657906,1156,223,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",drop global top 1% erdf_eur_pc,264.108343
Model B (outliers excluded),tertiary_share_25_64,-0.1028151885,0.09061032815,-1.134696128,0.2565026601,-0.2804081683,0.07477779127,1156,223,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",drop global top 1% erdf_eur_pc,264.108343
Model B (outliers excluded),rd_gerd,-0.6812139424,0.6112334283,-1.114490653,0.2650687523,-1.879209448,0.5167815633,1156,223,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",drop global top 1% erdf_eur_pc,264.108343
Model B (outliers excluded),gva,0.1963045057,0.05416204235,3.624392604,0.0002896413436,0.09014885336,0.302460158,1156,223,country_year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",drop global top 1% erdf_eur_pc,264.108343
